codigo_origen,version_origen,codigo_destino,version_destino,nivel
108,CNAE-2009,108,CNAE-2025,3
108,CNAE-2009,110,CNAE-2025,3
1081,CNAE-2009,1081,CNAE-2025,4
1082,CNAE-2009,1082,CNAE-2025,4
1083,CNAE-2009,1083,CNAE-2025,4
1084,CNAE-2009,1084,CNAE-2025,4
1085,CNAE-2009,1085,CNAE-2025,4
1086,CNAE-2009,1061,CNAE-2025,4
1086,CNAE-2009,1062,CNAE-2025,4
1086,CNAE-2009,1071,CNAE-2025,4
1086,CNAE-2009,1072,CNAE-2025,4
1086,CNAE-2009,1073,CNAE-2025,4
1086,CNAE-2009,1086,CNAE-2025,4
1089,CNAE-2009,1089,CNAE-2025,4
1089,CNAE-2009,1107,CNAE-2025,4
109,CNAE-2009,109,CNAE-2025,3
1091,CNAE-2009,1091,CNAE-2025,4
1092,CNAE-2009,1092,CNAE-2025,4
11,CNAE-2009,11,CNAE-2025,2
110,CNAE-2009,110,CNAE-2025,3
1101,CNAE-2009,1101,CNAE-2025,4
1102,CNAE-2009,1102,CNAE-2025,4
1103,CNAE-2009,1103,CNAE-2025,4
1104,CNAE-2009,1104,CNAE-2025,4
1105,CNAE-2009,1105,CNAE-2025,4
1106,CNAE-2009,1106,CNAE-2025,4
1107,CNAE-2009,1107,CNAE-2025,4
12,CNAE-2009,12,CNAE-2025,2
120,CNAE-2009,120,CNAE-2025,3
1200,CNAE-2009,1200,CNAE-2025,4
13,CNAE-2009,13,CNAE-2025,2
13,CNAE-2009,23,CNAE-2025,2
131,CNAE-2009,131,CNAE-2025,3
1310,CNAE-2009,1310,CNAE-2025,4
132,CNAE-2009,132,CNAE-2025,3
132,CNAE-2009,139,CNAE-2025,3
132,CNAE-2009,239,CNAE-2025,3
1320,CNAE-2009,1320,CNAE-2025,4
1320,CNAE-2009,1396,CNAE-2025,4
1320,CNAE-2009,2399,CNAE-2025,4
133,CNAE-2009,133,CNAE-2025,3
1330,CNAE-2009,1330,CNAE-2025,4
139,CNAE-2009,139,CNAE-2025,3
1391,CNAE-2009,1391,CNAE-2025,4
1392,CNAE-2009,1392,CNAE-2025,4
1392,CNAE-2009,1396,CNAE-2025,4
1393,CNAE-2009,1393,CNAE-2025,4
1394,CNAE-2009,1394,CNAE-2025,4
1395,CNAE-2009,1395,CNAE-2025,4
1396,CNAE-2009,1396,CNAE-2025,4
1399,CNAE-2009,1399,CNAE-2025,4
14,CNAE-2009,14,CNAE-2025,2
141,CNAE-2009,141,CNAE-2025,3
141,CNAE-2009,142,CNAE-2025,3
1411,CNAE-2009,1424,CNAE-2025,4
1412,CNAE-2009,1423,CNAE-2025,4
1413,CNAE-2009,1410,CNAE-2025,4
1413,CNAE-2009,1421,CNAE-2025,4
1414,CNAE-2009,1410,CNAE-2025,4
1414,CNAE-2009,1421,CNAE-2025,4
1414,CNAE-2009,1422,CNAE-2025,4
1419,CNAE-2009,1410,CNAE-2025,4
1419,CNAE-2009,1421,CNAE-2025,4
1419,CNAE-2009,1422,CNAE-2025,4
1419,CNAE-2009,1429,CNAE-2025,4
142,CNAE-2009,142,CNAE-2025,3
1420,CNAE-2009,1424,CNAE-2025,4
143,CNAE-2009,141,CNAE-2025,3
1431,CNAE-2009,1410,CNAE-2025,4
1439,CNAE-2009,1410,CNAE-2025,4
15,CNAE-2009,15,CNAE-2025,2
151,CNAE-2009,151,CNAE-2025,3
1511,CNAE-2009,1511,CNAE-2025,4
1512,CNAE-2009,1512,CNAE-2025,4
152,CNAE-2009,152,CNAE-2025,3
1520,CNAE-2009,1520,CNAE-2025,4
16,CNAE-2009,15,CNAE-2025,2
16,CNAE-2009,16,CNAE-2025,2
161,CNAE-2009,161,CNAE-2025,3
1610,CNAE-2009,1611,CNAE-2025,4
1610,CNAE-2009,1612,CNAE-2025,4
162,CNAE-2009,152,CNAE-2025,3
162,CNAE-2009,162,CNAE-2025,3
1621,CNAE-2009,1621,CNAE-2025,4
1621,CNAE-2009,1627,CNAE-2025,4
1622,CNAE-2009,1622,CNAE-2025,4
1622,CNAE-2009,1627,CNAE-2025,4
1623,CNAE-2009,1623,CNAE-2025,4
1623,CNAE-2009,1625,CNAE-2025,4
1623,CNAE-2009,1627,CNAE-2025,4
1623,CNAE-2009,1629,CNAE-2025,4
1624,CNAE-2009,1624,CNAE-2025,4
1624,CNAE-2009,1627,CNAE-2025,4
1629,CNAE-2009,1520,CNAE-2025,4
1629,CNAE-2009,1626,CNAE-2025,4
1629,CNAE-2009,1627,CNAE-2025,4
1629,CNAE-2009,1628,CNAE-2025,4
17,CNAE-2009,17,CNAE-2025,2
171,CNAE-2009,171,CNAE-2025,3
1711,CNAE-2009,1711,CNAE-2025,4
1712,CNAE-2009,1712,CNAE-2025,4
172,CNAE-2009,172,CNAE-2025,3
1721,CNAE-2009,1721,CNAE-2025,4
1722,CNAE-2009,1722,CNAE-2025,4
1723,CNAE-2009,1723,CNAE-2025,4
1724,CNAE-2009,1724,CNAE-2025,4
1729,CNAE-2009,1725,CNAE-2025,4
18,CNAE-2009,13,CNAE-2025,2
18,CNAE-2009,18,CNAE-2025,2
181,CNAE-2009,133,CNAE-2025,3
181,CNAE-2009,181,CNAE-2025,3
1811,CNAE-2009,1811,CNAE-2025,4
1812,CNAE-2009,1330,CNAE-2025,4
1812,CNAE-2009,1812,CNAE-2025,4
1813,CNAE-2009,1813,CNAE-2025,4
1814,CNAE-2009,1814,CNAE-2025,4
182,CNAE-2009,182,CNAE-2025,3
1820,CNAE-2009,1820,CNAE-2025,4
19,CNAE-2009,19,CNAE-2025,2
191,CNAE-2009,191,CNAE-2025,3
1910,CNAE-2009,1910,CNAE-2025,4
192,CNAE-2009,192,CNAE-2025,3
1920,CNAE-2009,1920,CNAE-2025,4
20,CNAE-2009,20,CNAE-2025,2
201,CNAE-2009,201,CNAE-2025,3
201,CNAE-2009,205,CNAE-2025,3
