codigo,version,descripcion,nivel,codigo_padre
91,CNAE-2009,"Actividades de bibliotecas, archivos, museos y otras actividades culturales",2,R
92,CNAE-2009,Actividades de juegos de azar y apuestas,2,R
93,CNAE-2009,"Actividades deportivas, recreativas y de entretenimiento",2,R
94,CNAE-2009,Actividades asociativas,2,S
95,CNAE-2009,"Reparación de ordenadores, efectos personales y artículos de uso doméstico",2,S
96,CNAE-2009,Otros servicios personales,2,S
97,CNAE-2009,Actividades de los hogares como empleadores de personal doméstico,2,T
98,CNAE-2009,Actividades de los hogares como productores de bienes y servicios para uso propio,2,T
99,CNAE-2009,Actividades de organizaciones y organismos extraterritoriales,2,U
011,CNAE-2009,Cultivos no perennes,3,01
012,CNAE-2009,Cultivos perennes,3,01
013,CNAE-2009,Propagación de plantas,3,01
014,CNAE-2009,Producción ganadera,3,01
015,CNAE-2009,Producción agrícola combinada con la producción ganadera,3,01
016,CNAE-2009,"Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha",3,01
017,CNAE-2009,"Caza, captura de animales y servicios relacionados con las mismas",3,01
021,CNAE-2009,Silvicultura y otras actividades forestales,3,02
022,CNAE-2009,Explotación de la madera,3,02
023,CNAE-2009,"Recolección de productos silvestres, excepto madera",3,02
024,CNAE-2009,Servicios de apoyo a la silvicultura,3,02
031,CNAE-2009,Pesca,3,03
032,CNAE-2009,Acuicultura,3,03
051,CNAE-2009,Extracción de antracita y hulla,3,05
052,CNAE-2009,Extracción de lignito,3,05
061,CNAE-2009,Extracción de crudo de petróleo,3,06
062,CNAE-2009,Extracción de gas natural,3,06
071,CNAE-2009,Extracción de minerales de hierro,3,07
072,CNAE-2009,Extracción de minerales metálicos no férreos,3,07
081,CNAE-2009,"Extracción de piedra, arena y arcilla",3,08
089,CNAE-2009,Industrias extractivas n.c.o.p.,3,08
091,CNAE-2009,Actividades de apoyo a la extracción de petróleo y gas natural,3,09
099,CNAE-2009,Actividades de apoyo a otras industrias extractivas,3,09
101,CNAE-2009,Procesado y conservación de carne y elaboración de productos cárnicos,3,10
102,CNAE-2009,"Procesado y conservación de pescados, crustáceos y moluscos",3,10
103,CNAE-2009,Procesado y conservación de frutas y hortalizas,3,10
104,CNAE-2009,Fabricación de aceites y grasas vegetales y animales,3,10
105,CNAE-2009,Fabricación de productos lácteos,3,10
106,CNAE-2009,"Fabricación de productos de molinería, almidones y productos amiláceos",3,10
107,CNAE-2009,Fabricación de productos de panadería y pastas alimenticias,3,10
108,CNAE-2009,Fabricación de otros productos alimenticios,3,10
109,CNAE-2009,Fabricación de productos para la alimentación animal,3,10
110,CNAE-2009,Fabricación de bebidas,3,11
120,CNAE-2009,Industria del tabaco,3,12
131,CNAE-2009,Preparación e hilado de fibras textiles,3,13
132,CNAE-2009,Fabricación de tejidos textiles,3,13
133,CNAE-2009,Acabado de textiles,3,13
139,CNAE-2009,Fabricación de otros productos textiles,3,13
141,CNAE-2009,"Confección de prendas de vestir, excepto de peletería",3,14
142,CNAE-2009,Fabricación de artículos de peletería,3,14
143,CNAE-2009,Confección de prendas de vestir de punto,3,14
151,CNAE-2009,"Preparación, curtido y acabado del cuero; fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería; preparación y teñido de pieles",3,15
152,CNAE-2009,Fabricación de calzado,3,15
161,CNAE-2009,Aserrado y cepillado de la madera,3,16
162,CNAE-2009,"Fabricación de productos de madera, corcho, cestería y espartería",3,16
171,CNAE-2009,"Fabricación de pasta papelera, papel y cartón",3,17
172,CNAE-2009,Fabricación de artículos de papel y de cartón,3,17
181,CNAE-2009,Artes gráficas y servicios relacionados con las mismas,3,18
182,CNAE-2009,Reproducción de soportes grabados,3,18
191,CNAE-2009,Coquerías,3,19
192,CNAE-2009,Refino de petróleo,3,19
201,CNAE-2009,"Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias",3,20
202,CNAE-2009,Fabricación de pesticidas y otros productos agroquímicos,3,20
203,CNAE-2009,"Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas",3,20
204,CNAE-2009,"Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento; fabricación de perfumes y cosméticos",3,20
205,CNAE-2009,Fabricación de otros productos químicos,3,20
206,CNAE-2009,Fabricación de fibras artificiales y sintéticas,3,20
211,CNAE-2009,Fabricación de productos farmacéuticos de base,3,21
212,CNAE-2009,Fabricación de especialidades farmacéuticas,3,21
221,CNAE-2009,Fabricación de productos de caucho,3,22
222,CNAE-2009,Fabricación de productos de plástico,3,22
231,CNAE-2009,Fabricación de vidrio y productos de vidrio,3,23
232,CNAE-2009,Fabricación de productos cerámicos refractarios,3,23
233,CNAE-2009,Fabricación de productos cerámicos para la construcción,3,23
234,CNAE-2009,Fabricación de otros productos cerámicos,3,23
235,CNAE-2009,"Fabricación de cemento, cal y yeso",3,23
236,CNAE-2009,"Fabricación de elementos de hormigón, cemento y yeso",3,23
237,CNAE-2009,"Corte, tallado y acabado de la piedra",3,23
239,CNAE-2009,Fabricación de productos abrasivos y productos minerales no metálicos n.c.o.p.,3,23
241,CNAE-2009,"Fabricación de productos básicos de hierro, acero y ferroaleaciones",3,24
242,CNAE-2009,"Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero",3,24
243,CNAE-2009,Fabricación de otros productos de primera transformación del acero,3,24
244,CNAE-2009,Producción de metales preciosos y de otros metales no férreos,3,24
245,CNAE-2009,Fundición de metales,3,24
251,CNAE-2009,Fabricación de elementos metálicos para la construcción,3,25
252,CNAE-2009,"Fabricación de cisternas, grandes depósitos y contenedores de metal",3,25
253,CNAE-2009,"Fabricación de generadores de vapor, excepto calderas de calefacción central",3,25
254,CNAE-2009,Fabricación de armas y municiones,3,25
255,CNAE-2009,"Forja, estampación y embutición de metales; metalurgia de polvos",3,25
256,CNAE-2009,Tratamiento y revestimiento de metales; ingeniería mecánica por cuenta de terceros,3,25
257,CNAE-2009,"Fabricación de artículos de cuchillería y cubertería, herramientas y ferretería",3,25
259,CNAE-2009,Fabricación de otros productos metálicos,3,25
261,CNAE-2009,Fabricación de componentes electrónicos y circuitos impresos ensamblados,3,26
262,CNAE-2009,Fabricación de ordenadores y equipos periféricos,3,26
263,CNAE-2009,Fabricación de equipos de telecomunicaciones,3,26
264,CNAE-2009,Fabricación de productos electrónicos de consumo,3,26
265,CNAE-2009,"Fabricación de instrumentos y aparatos de medida, verificación y navegación; fabricación de relojes",3,26
266,CNAE-2009,"Fabricación de equipos de radiación, electromédicos y electroterapéuticos",3,26
267,CNAE-2009,Fabricación de instrumentos de óptica y equipo fotográfico,3,26
268,CNAE-2009,Fabricación de soportes magnéticos y ópticos,3,26
271,CNAE-2009,"Fabricación de motores, generadores y transformadores eléctricos, y de aparatos de distribución y control eléctrico",3,27
272,CNAE-2009,Fabricación de pilas y acumuladores eléctricos,3,27
273,CNAE-2009,Fabricación de cables y dispositivos de cableado,3,27
274,CNAE-2009,Fabricación de lámparas y aparatos eléctricos de iluminación,3,27
275,CNAE-2009,Fabricación de aparatos domésticos,3,27
279,CNAE-2009,Fabricación de otro material y equipo eléctrico,3,27
281,CNAE-2009,Fabricación de maquinaria de uso general,3,28
282,CNAE-2009,Fabricación de otra maquinaria de uso general,3,28
